time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1589904106,10.7,10.4,25.2,27,,3.64,29.6,0,3.72,0,,,0,,3.44,57,0,5.41,0,,,8
1589904107,10.7,10.4,25.2,27,,3.64,29.6,0,3.72,0,,,0,,3.44,57,0,5.41,0,,,8
1589904287,11.3,11.1,26,26,,3.69,29.6,0,3.77,0,,,0,,3.66,52.7,0,5.47,0,,,8
1589904288,11.3,11.1,26,26,,3.69,29.6,0,3.77,0,,,0,,3.66,52.7,0,5.47,0,,,8
1589904469,11.8,11.5,26.3,26.2,,3.72,29.6,0,3.81,0,,,0,,3.74,49.2,0,5.41,0,,,8
1589904709,12.2,11.9,26.3,26.4,,3.76,29.5,0,3.82,0,,,0,,3.82,46.1,0,5.45,0,,,8
1589904710,12.2,11.9,26.3,26.4,,3.76,29.5,0,3.82,0,,,0,,3.82,46.1,0,5.45,0,,,8
1589904884,12.5,12.1,26.5,26.6,,3.78,29.5,0,3.86,0,,,0,,3.87,43.9,0,5.1,0,,,8
1589904885,12.5,12.1,26.5,26.6,,3.78,29.5,0,3.86,0,,,0,,3.87,43.9,0,5.1,0,,,8
1589905064,12.7,12.3,26.6,26.6,,3.81,29.4,0,3.89,0,,,0,,3.89,42.4,0,4.95,0,,,8
1589905065,12.7,12.3,26.6,26.6,,3.81,29.4,0,3.89,0,,,0,,3.89,42.4,0,4.95,0,,,8
1589905244,12.9,12.5,26.8,26.9,,3.83,29.4,0,3.89,0,,,0,,3.89,40.7,0,4.09,0,,,8
1589905245,12.9,12.5,26.8,26.9,,3.83,29.4,0,3.89,0,,,0,,3.89,40.7,0,4.09,0,,,8
1589905430,13,12.6,26.9,27,,3.84,29.4,0,3.89,0,,,0,,3.87,39.4,0,3.94,0,,,8
1589905431,13,12.6,26.9,27,,3.84,29.4,0,3.89,0,,,0,,3.87,39.4,0,3.94,0,,,8
1589905607,13.1,12.7,26.9,27,,3.87,29.4,0,3.92,0,,,0,,3.89,38.4,0,3.98,0,,,8
1589905608,13.1,12.7,26.9,27,,3.87,29.4,0,3.92,0,,,0,,3.89,38.4,0,3.98,0,,,8
1589905862,13.2,12.8,27,27.1,,3.89,29.3,0,3.96,0,,,0,,3.91,37.4,0,3.97,0,,,8
1589905863,13.2,12.8,27,27.1,,3.89,29.3,0,3.96,0,,,0,,3.91,37.4,0,3.97,0,,,8
1589906149,13.3,12.9,27.2,27.2,,3.92,29.3,0,3.97,0,,,0,,3.94,36,0,4.01,0,,,8
1589906150,13.3,12.9,27.2,27.2,,3.92,29.3,0,3.97,0,,,0,,3.94,36,0,4.01,0,,,8
1589906331,13.4,13,27.1,27.2,,3.93,29.2,0,4.01,0,,,0,,3.94,35.3,0,3.99,0,,,8
1589906331,13.4,13,27.1,27.2,,3.93,29.2,0,4.01,0,,,0,,3.94,35.3,0,3.99,0,,,8
1589906511,13.4,13,27.2,27.3,,3.94,29.2,0,4.01,0,,,0,,3.94,34.8,0,4.01,0,,,8
1589906512,13.4,13,27.2,27.3,,3.94,29.2,0,4.01,0,,,0,,3.94,34.8,0,4.01,0,,,8
1589906692,13.5,13.1,27.3,27.4,,3.96,29.2,0,4.03,0,,,0,,3.96,34.4,0,4.01,0,,,8
1589906693,13.5,13.1,27.3,27.4,,3.96,29.2,0,4.03,0,,,0,,3.96,34.4,0,4.01,0,,,8
1589906873,13.5,13.1,27.3,27.3,,3.97,29.2,0,4.02,0,,,0,,3.96,34,0,4.02,0,,,8
1589906874,13.5,13.1,27.3,27.3,,3.97,29.2,0,4.02,0,,,0,,3.96,34,0,4.02,0,,,8
1589907054,13.6,13.1,27.3,27.4,,3.97,29.1,0,4.04,0,,,0,,3.96,33.7,0,4.03,0,,,8
1589907055,13.6,13.1,27.3,27.4,,3.97,29.1,0,4.04,0,,,0,,3.96,33.7,0,4.03,0,,,8
1589907234,13.6,13.2,27.3,27.4,,3.98,29.1,0,4.04,0,,,0,,3.96,33.3,0,4.04,0,,,8
1589907235,13.6,13.2,27.3,27.4,,3.98,29.1,0,4.04,0,,,0,,3.96,33.3,0,4.04,0,,,8
1589907415,13.6,13.2,27.3,27.4,,3.99,29.1,0,4.07,0,,,0,,3.97,33,0,4.06,0,,,8
1589907416,13.6,13.2,27.3,27.4,,3.99,29.1,0,4.07,0,,,0,,3.97,33,0,4.06,0,,,8
1589907595,13.6,13.2,27.3,27.4,,4.01,29.1,0,4.07,0,,,0,,3.96,32.7,0,4.04,0,,,8
1589907596,13.6,13.2,27.3,27.4,,4.01,29.1,0,4.07,0,,,0,,3.96,32.7,0,4.04,0,,,8
1589907776,13.7,13.3,27.3,27.5,,4.02,29,0,4.08,0,,,0,,3.96,32.4,0,4.03,0,,,8
1589907776,13.7,13.3,27.3,27.5,,4.02,29,0,4.08,0,,,0,,3.96,32.4,0,4.03,0,,,8
1589907956,13.7,13.3,27.3,27.4,,4.02,29,0,4.09,0,,,0,,3.94,32.2,0,4.02,0,,,8
1589907957,13.7,13.3,27.3,27.4,,4.02,29,0,4.09,0,,,0,,3.94,32.2,0,4.02,0,,,8
1589908372,13.7,13.3,27.5,27.5,,4.03,29,0,4.09,0,,,0,,3.96,31.6,0,4.03,0,,,8
1589908372,13.7,13.3,27.5,27.5,,4.03,29,0,4.09,0,,,0,,3.96,31.6,0,4.03,0,,,8
1589908554,13.8,13.3,27.4,27.5,,4.04,28.9,0,4.09,0,,,0,,3.96,31.4,0,4.03,0,,,8
1589908554,13.8,13.3,27.4,27.5,,4.04,28.9,0,4.09,0,,,0,,3.96,31.4,0,4.03,0,,,8
1589908739,13.8,13.4,27.4,27.5,,4.06,28.9,0,4.1,0,,,0,,3.96,31.2,0,4.03,0,,,8
1589908739,13.8,13.4,27.4,27.5,,4.06,28.9,0,4.1,0,,,0,,3.96,31.2,0,4.03,0,,,8
1589908925,13.8,13.4,27.4,27.5,,4.06,28.9,0,4.12,0,,,0,,3.96,31,0,4.02,0,,,8
1589908925,13.8,13.4,27.4,27.5,,4.06,28.9,0,4.12,0,,,0,,3.96,31,0,4.02,0,,,8
1589909105,13.8,13.4,27.5,27.6,,4.04,28.9,0,4.13,0,,,0,,3.96,30.8,0,4.02,0,,,8
1589909105,13.8,13.4,27.5,27.6,,4.04,28.9,0,4.13,0,,,0,,3.96,30.8,0,4.02,0,,,8
1589909285,13.8,13.4,27.5,27.6,,4.07,28.8,0,4.1,0,,,0,,3.97,30.6,0,4.02,0,,,8
1589909285,13.8,13.4,27.5,27.6,,4.07,28.8,0,4.1,0,,,0,,3.97,30.6,0,4.02,0,,,8
1589909464,13.8,13.4,27.5,27.5,,4.07,28.8,0,4.12,0,,,0,,3.97,30.5,0,4.03,0,,,8
1589909645,13.8,13.4,27.4,27.6,,4.07,28.8,0,4.14,0,,,0,,3.97,30.4,0,4.03,0,,,8
