time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1588348873,10.2,8.3,24.1,26.8,,3.12,26.7,0,3.2,0,,,0,,2.57,46.7,161.5,7.73,92.8,,,11
1588349054,8.7,6.8,25.6,28.1,,2.72,26.7,0,2.81,0,,,0,,2.35,46.9,147,7.75,62.7,,,11
1588349235,8.4,8.5,25.3,25.6,,2.83,26.7,0,2.91,0,,,0,,3.02,44.9,0,5.3,0,,,11
1588349596,9.1,9.1,23.5,23.7,,2.96,26.8,0,3.03,0,,,0,,3.2,41.1,0,4.55,0,,,11
1588349780,9.4,9.4,23.1,23.3,,3.06,26.8,0,3.15,0,,,0,,3.31,39.8,0,4.49,0,,,11
1588349962,9.6,9.7,22.8,23,,2.98,26.8,0,3.06,0,,,0,,3.25,39,0,4.15,0,,,11
1588350143,9.9,9.9,22.6,22.8,,3.15,26.8,0,3.22,0,,,0,,3.36,38.1,0,3.32,0,,,11
1588350320,10.1,10.2,22.5,22.7,,3.18,26.7,0,3.26,0,,,0,,3.4,37.4,0,3.35,0,,,11
1588350505,10.4,10.4,22.5,22.7,,3.23,26.7,0,3.31,0,,,0,,3.44,36.8,0,3.41,0,,,11
1588350684,10.7,10.7,22.5,22.7,,3.27,26.7,0,3.35,0,,,0,,3.47,36.2,0,3.44,0,,,11
1588350865,10.9,10.9,22.4,22.6,,3.16,26.7,0,3.25,0,,,0,,3.38,35.7,0,3.35,0,,,11
1588351047,11.1,11.2,22.4,22.6,,3.23,26.7,0,3.32,0,,,0,,3.44,35.2,0,3.43,0,,,11
1588351283,11.4,11.5,22.3,22.5,,3.38,26.7,0,3.46,0,,,0,,3.59,34.7,0,3.56,0,,,11
1588351461,11.7,11.7,22.3,22.5,,3.35,26.7,0,3.44,0,,,0,,3.56,34.3,0,3.53,0,,,11
1588351643,11.9,12,22.2,22.4,,3.3,26.7,0,3.37,0,,,0,,3.51,33.9,0,3.47,0,,,11
1588352182,9.7,7.8,24.4,27,,2.91,26.6,0,2.98,0,,,0,,2.41,46.9,164.1,7.68,94.3,,,11
1588353594,10.2,10.2,22.4,22.6,,3.07,26.7,0,3.15,0,,,0,,3.27,37.3,0,3.25,0,,,11
1588353773,10.4,10.5,22.3,22.5,,3.16,26.7,0,3.25,0,,,0,,3.4,36.7,0,3.36,0,,,11
1588353952,10.7,10.7,22.3,22.5,,3.2,26.7,0,3.27,0,,,0,,3.42,36.1,0,3.4,0,,,11
1588354136,10.9,11,22.2,22.4,,3.2,26.7,0,3.3,0,,,0,,3.42,35.5,0,3.4,0,,,11
1588354316,11.2,11.2,22.2,22.4,,3.25,26.7,0,3.32,0,,,0,,3.44,35,0,3.41,0,,,11
1588354498,11.4,11.5,22.2,22.4,,3.22,26.7,0,3.3,0,,,0,,3.43,34.7,0,3.4,0,,,11
1588354685,11.6,11.7,22.2,22.4,,3.3,26.7,0,3.38,0,,,0,,3.51,34.3,0,3.47,0,,,11
1588354866,11.9,11.9,22.2,22.4,,3.4,26.6,0,3.48,0,,,0,,3.62,33.9,0,3.57,0,,,11
1588355044,12.1,12.1,22.2,22.4,,3.42,26.6,0,3.52,0,,,0,,3.64,33.6,0,3.62,0,,,11
1588355227,11.6,9.4,22.4,24.8,,3.3,26.6,0,3.38,0,,,0,,2.47,44.9,160.4,7.59,92.2,,,11
1588355410,9.6,7.7,24.5,27.2,,2.97,26.6,0,3.05,0,,,0,,2.52,46.6,164.1,7.83,94.6,,,11
1588355590,8.4,7.4,25.5,27.4,,2.95,26.5,0,3.01,0,,,0,,3,47,0,6.06,0,,,11
1588355775,8.5,8.5,24.8,25,,2.83,26.6,0,2.91,0,,,0,,3.02,44.2,0,5.19,0,,,11
1588355954,8.8,8.9,23.7,23.9,,2.87,26.6,0,2.96,0,,,0,,3.1,42,0,4.72,0,,,11
1588356137,9.1,9.2,23.2,23.4,,2.93,26.6,0,3.02,0,,,0,,3.18,40.6,0,4.49,0,,,11
1588356321,9.4,9.5,22.8,23,,3.12,26.6,0,3.2,0,,,0,,3.36,39.5,0,4.49,0,,,11
1588356497,9.7,9.8,22.5,22.7,,3.02,26.6,0,3.11,0,,,0,,3.28,38.6,0,4.04,0,,,11
1588356684,9.9,10,22.4,22.6,,3.17,26.6,0,3.27,0,,,0,,3.41,37.7,0,3.38,0,,,11
1588356866,10.2,10.2,22.3,22.5,,3.22,26.6,0,3.3,0,,,0,,3.44,37.1,0,3.41,0,,,11
1588357048,10.5,10.5,22.2,22.4,,3.11,26.6,0,3.2,0,,,0,,3.32,36.4,0,3.28,0,,,11
1588357288,10.8,10.8,22.2,22.4,,3.13,26.6,0,3.22,0,,,0,,3.36,35.7,0,3.33,0,,,11
1588357470,11.1,11.1,22.2,22.4,,3.16,26.6,0,3.25,0,,,0,,3.4,35.2,0,3.35,0,,,11
1588357649,11.3,11.4,22.2,22.4,,3.3,26.6,0,3.38,0,,,0,,3.53,34.7,0,3.49,0,,,11
1588357833,11.5,11.6,22.2,22.4,,3.23,26.6,0,3.32,0,,,0,,3.44,34.4,0,3.42,0,,,11
1588358013,11.7,11.8,22.2,22.4,,3.41,26.6,0,3.48,0,,,0,,3.62,34,0,3.58,0,,,11
1588358195,11.9,12,22.2,22.4,,3.35,26.6,0,3.42,0,,,0,,3.54,33.7,0,3.51,0,,,11
1588358373,12.2,11.9,22.2,22.5,,3.38,26.6,0,3.46,0,,,0,,3.21,34.3,99.6,6.15,58.7,,,11
1588358560,10.7,8.7,23.5,26,,3.06,26.5,0,3.15,0,,,0,,2.45,46.7,162.2,7.64,94.1,,,11
1588358740,9.2,7.3,24.8,27.6,,2.8,26.5,0,2.87,0,,,0,,2.4,46.8,164.8,7.75,95.3,,,11
